Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
4-[(4-methoxyphenyl)methylideneamino]phenol,c1cc(OC)ccc1C=Nc2ccc(O)cc2,"InChI=1S/C14H13NO2/c1-17-14-8-2-11(3-9-14)10-15-12-4-6-13(16)7-5-12/h2-10,16H,1H3",nitromethane,basic,pK1,pKaH1,19.87,11.47,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(4-methylphenyl)methylideneamino]phenol,c1cc(C)ccc1C=Nc2ccc(O)cc2,"InChI=1S/C14H13NO/c1-11-2-4-12(5-3-11)10-15-13-6-8-14(16)9-7-13/h2-10,16H,1H3",nitromethane,basic,pK1,pKaH1,19.89,11.49,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(4-nitrophenyl)methylideneamino]phenol,c1cc([N+](=O)[O-])ccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H10N2O3/c16-13-7-3-11(4-8-13)14-9-10-1-5-12(6-2-10)15(17)18/h1-9,16H",nitromethane,basic,pK1,pKaH1,17.41,9.01,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[[4-(dimethylamino)phenyl]methylideneamino]phenol,c1cc(N(C)(C))ccc1C=Nc2ccc(O)cc2,"InChI=1S/C15H16N2O/c1-17(2)14-7-3-12(4-8-14)11-16-13-5-9-15(18)10-6-13/h3-11,18H,1-2H3",nitromethane,basic,pK1,pKaH1,23.65,12.55,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
4-diethylphosphorylbenzoic acid,CCP(=O)(CC)c1ccc(C(=O)O)cc1,"InChI=1S/C11H15O3P/c1-3-15(14,4-2)10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3,(H,12,13)",nitromethane,basic,pK1(P=O),pKaH1,14.9,3.8,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
4-dimethylphosphorylbenzoic acid,CP(C)(=O)c1ccc(C(=O)O)cc1,"InChI=1S/C9H11O3P/c1-13(2,12)8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3,(H,10,11)",nitromethane,basic,pK1(P=O),pKaH1,14.75,3.65,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
5-Vinyl-2-picoline,C=Cc1ccc(C)nc1,"InChI=1S/C8H9N/c1-3-8-5-4-7(2)9-6-8/h3-6H,1H2,2H3",nitromethane,basic,pK1,pKaH1,20.84,12.44,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
6-(Phenylazo)-3-pyridinol,Oc1ccc(N=Nc2ccccc2)nc1,"InChI=1S/C11H9N3O/c15-10-6-7-11(12-8-10)14-13-9-4-2-1-3-5-9/h1-8,15H",nitromethane,basic,pK1,pKaH1,17.45,9.05,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"K.M. Oyumaev, B.A. Korolev and R.E. Lokhov, Zh. Obshch. khim., 41, 2520 (1971); J. Gen. Chem. USSR, 41, 2548 (1971).",71D,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
6-(p-Nitrophenylazo)-3-pyridinol,O=[N+]([O-])c1ccc(N=Nc2ccc(O)cn2)cc1,"InChI=1S/C11H8N4O3/c16-10-5-6-11(12-7-10)14-13-8-1-3-9(4-2-8)15(17)18/h1-7,16H",nitromethane,basic,pK1,pKaH1,16,8,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"K.M. Oyumaev, B.A. Korolev and R.E. Lokhov, Zh. Obshch. khim., 41, 2520 (1971); J. Gen. Chem. USSR, 41, 2548 (1971).",71D,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
6-Methyl-2-(p-nitrophenylazo)-3-pyridinol,Cc1ccc(O)c(N=Nc2ccc([N+](=O)[O-])cc2)n1,"InChI=1S/C12H10N4O3/c1-8-2-7-11(17)12(13-8)15-14-9-3-5-10(6-4-9)16(18)19/h2-7,17H,1H3",nitromethane,basic,pK1,pKaH1,17.04,8.64,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"K.M. Oyumaev, B.A. Korolev and R.E. Lokhov, Zh. Obshch. khim., 41, 2520 (1971); J. Gen. Chem. USSR, 41, 2548 (1971).",71D,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
6-Methyl-2-(phenylazo)-3-pyridinol,Cc1ccc(O)c(N=Nc2ccccc2)n1,"InChI=1S/C12H11N3O/c1-9-7-8-11(16)12(13-9)15-14-10-5-3-2-4-6-10/h2-8,16H,1H3",nitromethane,basic,pK1,pKaH1,17.75,9.35,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"K.M. Oyumaev, B.A. Korolev and R.E. Lokhov, Zh. Obshch. khim., 41, 2520 (1971); J. Gen. Chem. USSR, 41, 2548 (1971).",71D,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
6-Methyl-3-pyridinol,Cc1ccc(O)cn1,"InChI=1S/C6H7NO/c1-5-2-3-6(8)4-7-5/h2-4,8H,1H3",nitromethane,basic,pK1,pKaH1,20.96,12.56,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"K.M. Oyumaev, B.A. Korolev and R.E. Lokhov, Zh. Obshch. khim., 41, 2520 (1971); J. Gen. Chem. USSR, 41, 2548 (1971).",71D,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Acetic acid,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",nitromethane,acidic,pK1,pKa1,26.91,14.41,0.05,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),logKf(HA2-)=2.50[72P],,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1476 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1411 (1976).  Z. Pawlak, Rocz. Chem., 46, 2069 (1972). ","76K,72P",Group C: pKa(HPic)=7.94 (see *1c). ,C
Acetic acid,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",nitromethane,acidic,pK1,pKa1,28.9,20.5,,25,0.3,Potentiometric (glass electrode),P(G),DHE,5mM,logKf(HA2-)=3.8,,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. ",*1d,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). ",79K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Acridine,c1ccc2nc3ccccc3cc2c1,InChI=1S/C13H9N/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)14-12/h1-9H,nitromethane,basic,pK1,pKaH1,20.39,11.99,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Allylamine,C=CCN,"InChI=1S/C3H7N/c1-2-3-4/h2H,1,3-4H2",nitromethane,basic,pK1,pKaH1,24.18,15.78,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Ammonia,N,InChI=1S/H3N/h1H3,nitromethane,basic,pK1,pKaH1,23.57,15.17,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Aniline,Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",nitromethane,basic,pK1,pKaH1,17.47,9.07,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and B.I. Stepanov, lzv. Vyssh. Ucheb. Zaved., Ser. Khim. i Khim. Tekhnol., 11, 1193 (1968). B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","68K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Aniline,Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",nitromethane,basic,pK1,pKaH1,17.62,6.52,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
Benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",nitromethane,basic,pK1,pKaH1,18.05,9.65,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",nitromethane,basic,pK2,pKaH2,16.6,8.2,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Benzoic acid,O=C(O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",nitromethane,acidic,pK1,pKa1,25.7,13.2,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 2440 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 2275 (1976). ",76K2,Group C: pKa(HPic)=7.94 (see *1c). ,C
Benzoic acid,O=C(O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",nitromethane,acidic,pK1,pKa1,27.71,15.01,0.05,25,0.5,Potentiometric (glass electrode),P(G),DHE,,logKf(HA2-)=2.70,,"pKa and Kf(HA2-) were obtained from paH - log(Ca/Cs) relations for the acid and its tetraphenylarsonium salt by the method of Kalthoff and Chantooni [J. Am. Chem. Soc., 87, 4428 (1965)]. pKa was referred to pKa(HPic)=7.67.",*14,,"H. Smagowski and G. Wawrzyniak, Polish J. Chem., 56, 201 (1982).",82S,Group D: pKa(HPic)=7.67. ,D
Benzoic acid,O=C(O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",nitromethane,acidic,pK1,pKa1,27.9,19.5,,25,0.3,Potentiometric (glass electrode),P(G),DHE,5mM,logKf(HA2-)=3.75,,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. ",*1d,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). ",79K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Benzylamine,NCc1ccccc1,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",nitromethane,basic,pK1,pKaH1,23.77,15.37,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Bromoacetic acid,O=C(O)CBr,"InChI=1S/C2H3BrO2/c3-1-2(4)5/h1H2,(H,4,5)",nitromethane,acidic,pK1,pKa1,24.2,11.7,0.05,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1476 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1411 (1976). ",76K,Group C: pKa(HPic)=7.94 (see *1c). ,C
Butylamine,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",nitromethane,basic,pK1,pKaH1,25.26,16.86,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Butylamine,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",nitromethane,basic,pK1,pKaH1,25.35,14.25,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
Chloroacetic acid,O=C(O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",nitromethane,acidic,pK1,pKa1,24.12,11.62,0.05,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),logKf(HA2-)=3.75[69J],,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1476 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1411 (1976).  T. Jasinskii and Z. Pawlak, Rocz. Chem., 43, 133 (1969). ","76K,69J",Group C: pKa(HPic)=7.94 (see *1c). ,C
Chloroacetic acid,O=C(O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",nitromethane,acidic,pK1,pKa1,25,17,,25,0.3,Potentiometric (glass electrode),P(G),DHE,5mM,logKf(HA2-)=4.25,,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. ",*1d,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). ",79K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Cyanoacetic acid,N#CCC(=O)O,"InChI=1S/C3H3NO2/c4-2-1-3(5)6/h1H2,(H,5,6)",nitromethane,acidic,pK1,pKa1,23.18,10.68,0.05,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1476 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1411 (1976). ",76K,Group C: pKa(HPic)=7.94 (see *1c). ,C
Cyclohexylamine,NC1CCCCC1,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",nitromethane,basic,pK1,pKaH1,25.19,16.79,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Cyclohexylamine,NC1CCCCC1,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",nitromethane,basic,pK1,pKaH1,25.11,14.01,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
Cyclopentylamine,NC1CCCC1,"InChI=1S/C5H11N/c6-5-3-1-2-4-5/h5H,1-4,6H2",nitromethane,basic,pK1,pKaH1,25.16,16.76,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Diallylamine,C=CCNCC=C,"InChI=1S/C6H11N/c1-3-5-7-6-4-2/h3-4,7H,1-2,5-6H2",nitromethane,basic,pK1,pKaH1,24.01,15.61,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
